,fn_mo,fn_jd
0,playford_simple_chords_1.mid,playford1.mid
1,playford_simple_chords_10.mid,playford10.mid
2,playford_simple_chords_11.mid,playford11.mid
3,playford_simple_chords_12.mid,playford12.mid
4,playford_simple_chords_13.mid,playford13.mid
5,playford_simple_chords_14.mid,playford14.mid
6,playford_simple_chords_15.mid,playford15.mid
7,playford_simple_chords_2.mid,playford2.mid
8,playford_simple_chords_3.mid,playford3.mid
9,playford_simple_chords_4.mid,playford4.mid
10,playford_simple_chords_5.mid,playford5.mid
11,playford_simple_chords_6.mid,playford6.mid
12,playford_simple_chords_7.mid,playford7.mid
13,playford_simple_chords_8.mid,playford8.mid
14,playford_simple_chords_9.mid,playford9.mid
15,morris_simple_chords_1.mid,morris1.mid
16,morris_simple_chords_10.mid,morris10.mid
17,morris_simple_chords_11.mid,morris11.mid
18,morris_simple_chords_12.mid,morris12.mid
19,morris_simple_chords_13.mid,morris13.mid
20,morris_simple_chords_14.mid,morris14.mid
21,morris_simple_chords_15.mid,morris15.mid
22,morris_simple_chords_16.mid,morris16.mid
23,morris_simple_chords_17.mid,morris17.mid
24,morris_simple_chords_18.mid,morris18.mid
25,morris_simple_chords_19.mid,morris19.mid
26,morris_simple_chords_2.mid,morris2.mid
27,morris_simple_chords_20.mid,morris20.mid
28,morris_simple_chords_21.mid,morris21.mid
29,morris_simple_chords_22.mid,morris22.mid
30,morris_simple_chords_23.mid,morris23.mid
31,morris_simple_chords_24.mid,morris24.mid
32,morris_simple_chords_25.mid,morris25.mid
33,morris_simple_chords_26.mid,morris26.mid
34,morris_simple_chords_27.mid,morris27.mid
35,morris_simple_chords_28.mid,morris28.mid
36,morris_simple_chords_29.mid,morris29.mid
37,morris_simple_chords_3.mid,morris3.mid
38,morris_simple_chords_30.mid,morris30.mid
39,morris_simple_chords_31.mid,morris31.mid
40,morris_simple_chords_4.mid,morris4.mid
41,morris_simple_chords_5.mid,morris5.mid
42,morris_simple_chords_6.mid,morris6.mid
43,morris_simple_chords_7.mid,morris7.mid
